index,time_seconds,latitude,longitude,rel_alt,abs_alt
354,11.777,32.104391,35.205338,117.5,802.541
355,11.81,32.104391,35.205338,117.5,802.541
356,11.843,32.104391,35.205338,117.5,802.541
357,11.877,32.104391,35.205338,117.5,802.541
358,11.91,32.104399,35.205341,117.5,802.541
359,11.943999999999999,32.104399,35.205341,117.5,802.541
360,11.977,32.104408,35.205344,117.5,802.541
361,12.01,32.104408,35.205344,117.5,802.541
362,12.044,32.104408,35.205344,117.5,802.541
363,12.077,32.104408,35.205344,117.5,802.541
364,12.11,32.104416,35.205348,117.5,802.541
365,12.144,32.104416,35.205348,117.5,802.541
366,12.177,32.104416,35.205348,117.5,802.541
367,12.21,32.104425,35.205351,117.5,802.541
368,12.244,32.104425,35.205351,117.5,802.541
369,12.277,32.104425,35.205351,117.5,802.541
370,12.311,32.104433,35.205354,117.5,802.541
371,12.344,32.104433,35.205354,117.5,802.541
372,12.377,32.104441,35.205358,117.4,802.441
373,12.411,32.104441,35.205358,117.4,802.441
374,12.444,32.104441,35.205358,117.4,802.441
375,12.477,32.104441,35.205358,117.4,802.441
376,12.511,32.10445,35.205361,117.4,802.441
377,12.544,32.10445,35.205361,117.4,802.441
378,12.577,32.104458,35.205364,117.4,802.441
379,12.611,32.104458,35.205364,117.4,802.441
380,12.644,32.104458,35.205364,117.4,802.441
381,12.678,32.104458,35.205364,117.4,802.441
382,12.711,32.104466,35.205368,117.4,802.441
383,12.744,32.104466,35.205368,117.4,802.441
384,12.778,32.104475,35.205371,117.4,802.441
385,12.811,32.104475,35.205371,117.4,802.441
386,12.844,32.104475,35.205371,117.4,802.441
387,12.878,32.104483,35.205375,117.4,802.441
388,12.911,32.104483,35.205375,117.4,802.441
389,12.943999999999999,32.104483,35.205375,117.4,802.441
390,12.978,32.104492,35.205378,117.4,802.441
391,13.011,32.104492,35.205378,117.4,802.441
392,13.045,32.104492,35.205378,117.4,802.441
393,13.078,32.1045,35.205382,117.5,802.541
394,13.111,32.1045,35.205382,117.5,802.541
395,13.145,32.1045,35.205382,117.5,802.541
396,13.178,32.104508,35.205385,117.5,802.541
397,13.211,32.104508,35.205385,117.5,802.541
398,13.245,32.104508,35.205385,117.5,802.541
399,13.278,32.104516,35.205389,117.5,802.541
400,13.311,32.104516,35.205389,117.5,802.541
401,13.345,32.104516,35.205389,117.5,802.541
402,13.378,32.104525,35.205392,117.5,802.541
403,13.412,32.104525,35.205392,117.5,802.541
404,13.445,32.104525,35.205392,117.5,802.541
405,13.478,32.104533,35.205395,117.5,802.541
406,13.512,32.104533,35.205395,117.5,802.541
407,13.545,32.104533,35.205395,117.5,802.541
408,13.578,32.104542,35.205399,117.5,802.541
409,13.612,32.104542,35.205399,117.5,802.541
410,13.645,32.104542,35.205399,117.5,802.541
411,13.678,32.10455,35.205402,117.5,802.541
412,13.712,32.10455,35.205402,117.5,802.541
413,13.745,32.10455,35.205402,117.5,802.541
414,13.779,32.104559,35.205406,117.5,802.541
415,13.812,32.104559,35.205406,117.5,802.541
416,13.845,32.104559,35.205406,117.5,802.541
417,13.879,32.104567,35.20541,117.5,802.541
418,13.912,32.104567,35.20541,117.5,802.541
419,13.945,32.104567,35.20541,117.5,802.541
420,13.979,32.104576,35.205413,117.5,802.541
421,14.012,32.104576,35.205413,117.5,802.541
422,14.045,32.104576,35.205413,117.5,802.541
423,14.079,32.104584,35.205417,117.5,802.541
424,14.112,32.104584,35.205417,117.5,802.541
425,14.146,32.104584,35.205417,117.5,802.541
426,14.179,32.104593,35.20542,117.5,802.541
427,14.212,32.104593,35.20542,117.5,802.541
428,14.246,32.104593,35.20542,117.5,802.541
429,14.279,32.104601,35.205424,117.5,802.541
430,14.312,32.104601,35.205424,117.5,802.541
431,14.346,32.104601,35.205424,117.5,802.541
432,14.379,32.10461,35.205427,117.4,802.441
